"Added","SHiFTCode","Reward","Expiration","Source"
"12/30/2025","39FJB-CT5S3-5FTTW-BBB3J-F3HKZ","Hype Squad Skin","12/31/2030","mentalmars.com"
"12/27/2025","3HX3J-RJWSJ-CFBBC-3BJ3B-RWZ36","A Winter Borderland Skin","12/31/2030","mentalmars.com"
"12/24/2025","BZ6J3-3JKHB-CX3B5-TTJTT-HJBZW","Vault Hunter Skin","12/31/2025","mentalmars.com"
"12/21/2025","3ZXJB-HZBHT-KX3BK-BBTT3-BHHXJ","Vex Skin","12/31/2030","mentalmars.com"
"12/20/2025","J9XTB-SJWS3-WRTTC-BJTJJ-TH6TX","ECHO-4 Drone Skin","12/31/2030","mentalmars.com"
"10/23/2025","3S6BB-ZXT93-KRT3W-BT3T3-JW6TZ","Halloween Cosmetics","12/31/2030","manual"
"10/21/2025","J96JT-BCXKT-C6JJ5-JTJBB-BZTXJ","Harlowe Cosmetic","12/31/2030","mentalmars.com"
"10/14/2025","BZ6JJ-CB6CT-WXJJW-3TT3B-56FZ5","Vex Cosmetic","12/31/2030","mentalmars.com"
"10/05/2025","JZ6BJ-SBR5J-WF3BK-BT3BB-TX9HB","Amon Cosmetic","12/31/2030","mentalmars.com"
"10/02/2025","TZFT3-K9Z33-5FT3W-BJ33T-WZ5X5","1 Golden Key","12/31/2030","manual"
"09/26/2025","TZXT3-XJXCB-CXBJW-BTTJT-9SK6B","Rafa Cosmetic","12/31/2030","mentalmars.com"
"09/12/2025","T9RJB-BFKRR-3RBTW-B33TB-KCZB9","1 Golden Key","12/31/2030","manual"
"09/12/2025","JS63J-JSCWJ-CFTBW-3TJ3J-WJS5R","1 Break Free Pack","12/31/2030","mentalmars.com"
"01/30/2026","T9FBJ-X9C9B-5RJTW-TTB3T-B336X","3 Golden Keys","02/03/2026","mentalmars.com"
"01/29/2026","THFB3-R9XKK-CFBJW-T33BB-9R3CC","Halloween Cosmetics","12/31/2030","mentalmars.com"
